116 1569 2500 174 1557 1541 1490 1580 	55
493 686 499 677 552 482 1932 1894 626 733 517 565 525 559 683 489 1916 749 	48
209 2563 457 215 2557 1966 2548 255 369 2555 367 2420 2561 	28
29 2003 1735 1692 2018 196 1711 11 14 39 197 2468 10 18 1721 147 74 	18
33 138 8 28 46 2332 2345 	3
196 1697 1735 188 1671 39 61 11 31 22 10 71 78 1710 	44
1229 1149 801 1407 2479 896 1242 904 993 1395 	44
238 395 209 455 232 280 254 397 257 327 	19
195 1678 40 74 39 22 189 1672 24 34 	29
1982 1703 33 38 18 2333 2334 	76
24 163 38 71 10 1673 74 34 39 1671 41 147 29 	40
956 207 848 915 307 776 958 439 296 770 	89
499 485 497 490 480 493 582 492 527 475 482 557 522 593 565 740 517 	81
475 482 1895 497 591 722 589 632 482 582 485 512 499 1896 504 	29
1043 1030 1032 1027 1042 76 1077 1032 	14
2338 62 104 31 139 74 1694 1735 1672 196 	68
2040 2115 2164 2366 2037 2053 2111 	12
29 1691 74 1686 2018 196 148 104 34 2338 39 1699 24 	22
515 475 563 1895 509 543 492 656 	64
480 689 490 737 487 621 501 475 508 525 702 645 659 1900 	76
20 21 22 15 23 8 24 25 	39
1098 1072 1039 1068 1051 1052 1044 1055 1067 1027 1073 1060 1045 1036 	63
2358 2130 2022 2243 2041 1996 2084 2365 2158 2008 2148 2004 2099 	90
29 94 34 41 39 1701 78 47 	27
615 501 636 614 637 638 639 640 	92
490 550 709 542 527 611 602 748 475 481 519 1897 565 623 1898 483 	77
2651 2025 2122 2050 1997 2668 2064 	68
1056 1085 1044 1032 1031 1048 1027 	91
482 598 551 1923 728 480 1939 	92
519 544 538 546 484 489 684 502 495 504 	49
2418 2513 10 1438 2430 41 39 480 40 11 	95
31 11 2430 29 10 1719 195 104 	22
2046 2039 2049 2025 2079 1994 2064 2094 	6
24 104 10 38 193 34 12 22 1671 3 29 31 	12
453 264 1948 391 882 1643 415 365 	28
1931 495 475 502 691 527 754 483 640 2516 538 	43
79 29 1683 22 3 18 10 11 	83
480 39 22 29 10 2420 2347 11 2424 104 	89
1072 1085 1052 1055 1039 1051 1068 1044 1067 	51
1995 2005 1998 2064 2143 1996 1991 2116 2057 2056 2144 2023 1987 	89
196 1691 34 2338 74 4 31 39 29 2418 24 10 	35
249 464 209 277 458 353 262 341 246 283 211 360 355 285 241 465 	33
1601 254 212 453 1646 1616 1624 345 1619 1612 463 470 469 	24
1671 1673 14 78 1738 29 38 1739 79 24 1675 62 10 74 163 34 41 	99
1719 1672 104 24 22 62 196 2420 41 10 	58
387 218 359 257 383 1637 852 1610 306 343 	1
647 542 602 487 525 537 477 533 519 541 538 546 489 495 504 509 551 517 483 	39
2021 2063 2136 2140 2025 2109 2056 2086 2029 2032 1987 	19
583 692 542 1927 497 575 505 	88
2298 830 665 1327 2160 1324 2299 1312 1249 1351 	97
1206 2273 2487 782 1312 1300 1322 	68
31 1976 46 2334 18 2342 4 8 7 	53
1976 2333 2345 2342 164 18 31 8 	85
39 29 75 1693 78 63 24 31 	21
67 2 29 1677 67 74 11 1740 24 75 	61
2558 422 2557 242 306 265 310 2420 473 454 202 	78
245 300 304 230 411 445 320 242 210 331 265 204 466 257 	76
2063 2111 2027 2118 2068 2022 2084 2021 1988 2145 2037 	34
2332 2333 2337 31 1669 33 2344 28 	66
268 925 1405 986 1117 2489 1336 2490 825 1213 	16
2 22 32 33 34 27 24 35 	78
483 580 499 593 482 638 480 639 	40
18 11 1687 24 78 10 74 34 38 43 79 1737 1671 39 1670 4 29 	10
1039 1032 1044 1058 1027 1092 1026 1035 1033 1039 1041 	71
2112 2375 2119 2123 2010 2048 2020 2029 2047 	10
480 1339 2251 2240 1104 520 1135 	2
1670 80 1671 2465 1 11 78 21 1689 14 104 1742 22 29 24 1718 75 11 	93
1058 1065 1044 1066 1035 1069 1027 1050 76 1054 1074 1039 1046 1049 1044 	95
833 834 319 835 836 313 837 838 	47
34 8 75 4 107 22 1669 1671 5 11 29 	15
565 506 490 637 596 493 636 544 551 482 	85
24 3 21 56 11 1670 78 29 	63
475 532 1886 750 2279 483 756 546 480 601 519 530 	21
1919 516 555 497 527 636 485 	95
1963 1599 2560 443 2561 370 314 2552 401 209 426 239 	43
549 2538 611 492 738 1892 557 600 538 1915 591 485 742 690 1895 	91
770 884 839 785 885 886 887 	62
6 29 21 31 78 51 104 	80
1047 1039 1061 1044 1064 1056 1027 1057 1032 	60
0 1 2 3 4 5 6 7 8 	84
1602 1640 423 241 353 242 1647 230 	13
492 538 564 565 495 515 489 	63
2120 2020 2673 2664 2061 2661 1991 2044 	38
2652 1989 2657 1987 2114 2662 2087 	93
2551 2563 416 426 209 345 2555 458 2573 2552 361 2564 215 312 	30
497 639 621 475 525 753 519 1926 634 1895 480 	65
2004 2080 2062 2367 2090 2048 2356 2112 1720 2357 	76
1995 2025 2059 2024 2071 2050 2138 2029 2085 2119 2064 	52
1575 1518 1198 2379 1519 111 1541 1558 1586 	93
2021 2656 2454 2670 2655 2060 2137 2365 2615 2140 	98
1264 2564 2569 417 2553 2570 2547 	61
2010 2080 2025 2048 2141 2142 2061 2029 2066 2050 2052 2008 2130 2073 2135 2022 	66
2371 2092 2616 2124 2154 1991 2617 2109 2157 	49
511 695 624 485 729 534 678 	52
1164 876 845 887 2247 774 1011 890 	82
164 67 102 43 1 34 18 8 	53
2022 1992 2004 2365 2367 2062 1991 2157 2357 2611 2120 1987 2612 1720 2020 1985 	41
10 20 15 2467 34 73 18 38 1978 104 102 31 	73
2227 2234 1413 1269 2271 811 2253 	45
38 34 104 73 4 140 1671 12 	51
816 348 240 1017 412 414 263 931 298 	91
257 323 286 224 461 416 274 	79
1968 272 327 1623 256 829 210 	80
228 1955 419 972 350 1962 1007 327 449 	94
487 485 644 504 573 604 493 735 	68
1976 2342 1669 46 2344 138 21 	37
7 1976 30 1982 2344 2345 31 4 2333 2334 38 33 2344 	26
252 465 1192 925 852 869 1605 	35
401 285 242 446 274 310 230 314 358 345 257 216 	55
2053 2363 2147 2048 2125 2615 2098 	16
2235 1215 1934 1203 2255 1420 1169 665 1265 681 	23
2492 1268 112 780 2290 791 987 1327 	88
501 1892 559 551 1893 504 542 637 638 639 480 640 516 	52
2344 1703 21 1982 1669 7 38 4 2334 	43
1039 1029 1075 1045 1032 1048 1031 1090 76 1044 	36
209 213 239 264 300 237 415 	91
34 10 30 1712 104 1716 191 24 93 11 79 20 15 80 29 85 104 1673 18 	72
2420 2347 11 1697 34 480 10 104 2338 24 196 	33
499 485 632 497 490 480 493 543 492 527 	97
2057 2139 1991 1993 1997 2027 2068 2031 	8
31 2344 1976 46 2345 8 2344 	51
79 1671 1696 24 14 80 11 	28
559 503 492 555 491 519 697 482 	14
2248 681 1579 1352 1181 2300 1286 2301 1365 1292 2229 	90
29 20 34 58 31 1671 2471 104 75 78 24 	35
467 372 212 275 409 377 218 307 242 337 376 236 324 222 	27
2242 2295 55 1307 1562 2021 2296 	6
432 1240 454 1127 1963 910 284 820 	6
